12th	19525800.txt:1 
crossed	19525800.txt:6 
crossing	19525800.txt:5 
crushed	19525800.txt:2 
crushing	19525800.txt:1 
crutchhandled	19525800.txt:1 
cuffs	19525800.txt:1 
culminating	19525800.txt:1 
cur	19525800.txt:1 
curiosityshop	19525800.txt:1 
curlingirons	19525800.txt:1 
curtained	19525800.txt:2 
dalegoldsmith	19525800.txt:1 
damsels	19525800.txt:3 
darkcovered	19525800.txt:1 
darkgrey	19525800.txt:2 
darlings	19525800.txt:1 
darted	19525800.txt:5 
dashinglooking	19525800.txt:1 
davis	19525800.txt:2 
dazed	19525800.txt:1 
dazzled	19525800.txt:2 
dd	19525800.txt:1 
deaf	19525800.txt:5 
dearie	19525800.txt:1 
deathinlife	19525800.txt:1 
deathlike	19525800.txt:1 
debate	19525800.txt:1 
deborah	19525800.txt:1 
debris	19525800.txt:1 
debt	19525800.txt:1 
debts	19525800.txt:6 
dec	19525800.txt:2 
deceive	19525800.txt:3 
deceiving	19525800.txt:1 
deciding	19525800.txt:1 
decked	19525800.txt:1 
declare	19525800.txt:7 
declaring	19525800.txt:11 
decorous	19525800.txt:3 
defection	19525800.txt:1 
deferential	19525800.txt:4 
deferred	19525800.txt:1 
deficiencies	19525800.txt:1 
deformed	19525800.txt:1 
deigned	19525800.txt:1 
delavie	19525800.txt:109 
delicious	19525800.txt:4 
demanded	19525800.txt:10 
demonstrations	19525800.txt:1 
denying	19525800.txt:1 
departure	19525800.txt:7 
dependant	19525800.txt:2 
depending	19525800.txt:1 
depths	19525800.txt:1 
descending	19525800.txt:1 
describe	19525800.txt:3 
deserted	19525800.txt:2 
deserting	19525800.txt:1 
deserve	19525800.txt:4 
desirous	19525800.txt:2 
desolation	19525800.txt:3 
destined	19525800.txt:2 
deviation	19525800.txt:1 
devised	19525800.txt:2 
devises	19525800.txt:1 
devout	19525800.txt:2 
dew	19525800.txt:3 
diabolical	19525800.txt:1 
did	19525800.txt:166 
didin	19525800.txt:1 
dignified	19525800.txt:2 
dignite	19525800.txt:1 
dignity	19525800.txt:8 
dimness	19525800.txt:2 
dimonds	19525800.txt:1 
dire	19525800.txt:1 
directing	19525800.txt:4 
directly	19525800.txt:2 
disabled	19525800.txt:1 
disagreeable	19525800.txt:5 
disappoint	19525800.txt:2 
disappointing	19525800.txt:1 
discharge	19525800.txt:2 
disclosing	19525800.txt:1 
discouraged	19525800.txt:1 
discretion	19525800.txt:11 
disinclined	19525800.txt:1 
dispense	19525800.txt:2 
dispensing	19525800.txt:3 
displaying	19525800.txt:2 
disposed	19525800.txt:4 
disposing	19525800.txt:1 
disproved	19525800.txt:1 
distressed	19525800.txt:3 
distressing	19525800.txt:2 
disturb	19525800.txt:3 
disturbed	19525800.txt:5 
diverging	19525800.txt:1 
diversion	19525800.txt:4 
dizziness	19525800.txt:1 
doubled	19525800.txt:2 
dove	19525800.txt:56 
doves	19525800.txt:8 
dowager	19525800.txt:3 
dower	19525800.txt:1 
down	19525800.txt:138 
draw	19525800.txt:4 
drawn	19525800.txt:6 
dress	19525800.txt:28 
dressing	19525800.txt:6 
dried	19525800.txt:1 
driven	19525800.txt:7 
driving	19525800.txt:1 
dropped	19525800.txt:5 
drowned	19525800.txt:2 
drummed	19525800.txt:1 
dry	19525800.txt:2 
duckworth	19525800.txt:5 
dug	19525800.txt:1 
duke	19525800.txt:2 
dukes	19525800.txt:1 
duped	19525800.txt:1 
dutiful	19525800.txt:2 
dwelling	19525800.txt:1 
eagerly	19525800.txt:11 
eagle	19525800.txt:4 
earl	19525800.txt:1 
earlier	19525800.txt:2 
earnestly	19525800.txt:5 
easier	19525800.txt:4 
eaten	19525800.txt:3 
echo	19525800.txt:3 
edged	19525800.txt:4 
educing	19525800.txt:2 
effective	19525800.txt:3 
eh	19525800.txt:6 
eighteenth	19525800.txt:2 
ejaculation	19525800.txt:2 
elbowed	19525800.txt:1 
elderly	19525800.txt:3 
elements	19525800.txt:1 
else	19525800.txt:13 
em	19525800.txt:12 
embarrassment	19525800.txt:4 
embers	19525800.txt:1 
emotion	19525800.txt:3 
employers	19525800.txt:1 
enamoured	19525800.txt:3 
enchanted	19525800.txt:5 
encourage	19525800.txt:2 
endanger	19525800.txt:1 
endeavoured	19525800.txt:1 
endeavours	19525800.txt:4 
endure	19525800.txt:12 
endured	19525800.txt:2 
enforce	19525800.txt:1 
engravings	19525800.txt:1 
enhancing	19525800.txt:1 
enjoined	19525800.txt:2 
enlarged	19525800.txt:1 
enliven	19525800.txt:2 
ensure	19525800.txt:1 
entered	19525800.txt:17 
entertained	19525800.txt:3 
enthusiasts	19525800.txt:1 
entrusting	19525800.txt:1 
envy	19525800.txt:4 
epistle	19525800.txt:2 
esteem	19525800.txt:6 
eucharist	19525800.txt:1 
eugene	19525800.txt:73 
eugenes	19525800.txt:5 
euripedes	19525800.txt:1 
even	19525800.txt:80 
evening	19525800.txt:40 
evenings	19525800.txt:7 
every	19525800.txt:38 
everybodyeven	19525800.txt:1 
ewer	19525800.txt:1 
exalted	19525800.txt:2 
examine	19525800.txt:1 
example	19525800.txt:2 
exclamations	19525800.txt:2 
excluded	19525800.txt:1 
excuse	19525800.txt:31 
excused	19525800.txt:2 
excuses	19525800.txt:5 
execution	19525800.txt:2 
exercise	19525800.txt:1 
exile	19525800.txt:3 
existed	19525800.txt:2 
expecting	19525800.txt:6 
explain	19525800.txt:10 
exposure	19525800.txt:2 
express	19525800.txt:2 
expressive	19525800.txt:1 
extortionate	19525800.txt:1 
extract	19525800.txt:2 
eying	19525800.txt:1 
faded	19525800.txt:5 
failed	19525800.txt:7 
faint	19525800.txt:5 
faithlessness	19525800.txt:1 
fall	19525800.txt:9 
falling	19525800.txt:4 
falls	19525800.txt:1 
fantaisie	19525800.txt:1 
fantastical	19525800.txt:1 
farewell	19525800.txt:2 
farther	19525800.txt:9 
farthest	19525800.txt:1 
fast	19525800.txt:14 
fat	19525800.txt:1 
fatal	19525800.txt:4 
fault	19525800.txt:5 
favoured	19525800.txt:1 
favourites	19525800.txt:1 
fay	19525800.txt:33 
fays	19525800.txt:2 
feature	19525800.txt:3 
feet	19525800.txt:11 
female	19525800.txt:4 
fenelon	19525800.txt:2 
fetched	19525800.txt:2 
fete	19525800.txt:1 
fidelia	19525800.txt:11 
fielding	19525800.txt:1 
fight	19525800.txt:2 
finery	19525800.txt:1 
firm	19525800.txt:3 
fiveandforty	19525800.txt:1 
fivetoed	19525800.txt:1 
flag	19525800.txt:2 
flanders	19525800.txt:3 
flattering	19525800.txt:5 
flesh	19525800.txt:1 
flew	19525800.txt:5 
flight	19525800.txt:5 
flitting	19525800.txt:1 
flooding	19525800.txt:1 
floriated	19525800.txt:1 
flowing	19525800.txt:1 
flown	19525800.txt:1 
flung	19525800.txt:2 
folly	19525800.txt:14 
fomentations	19525800.txt:1 
foot	19525800.txt:6 
fop	19525800.txt:1 
forbade	19525800.txt:5 
forbidden	19525800.txt:1 
forbut	19525800.txt:1 
forcible	19525800.txt:1 
forcibly	19525800.txt:1 
formidable	19525800.txt:4 
formula	19525800.txt:1 
forthwith	19525800.txt:1 
fortnight	19525800.txt:7 
fortress	19525800.txt:1 
fought	19525800.txt:3 
found	19525800.txt:84 
foundeda	19525800.txt:1 
fountain	19525800.txt:1 
fountainhead	19525800.txt:1 
fourpost	19525800.txt:1 
fowls	19525800.txt:1 
fragments	19525800.txt:9 
framed	19525800.txt:3 
france	19525800.txt:2 
frank	19525800.txt:3 
frantic	19525800.txt:4 
friendly	19525800.txt:7 
frightful	19525800.txt:9 
frilled	19525800.txt:1 
friseur	19525800.txt:2 
frivolous	19525800.txt:1 
frocks	19525800.txt:2 
fulfilled	19525800.txt:1 
full	19525800.txt:54 
further	19525800.txt:20 
furtively	19525800.txt:2 
gaiety	19525800.txt:2 
gain	19525800.txt:3 
gaining	19525800.txt:1 
gainsay	19525800.txt:1 
gallanting	19525800.txt:1 
gallantry	19525800.txt:2 
game	19525800.txt:11 
games	19525800.txt:1 
garrison	19525800.txt:2 
gasped	19525800.txt:2 
gathering	19525800.txt:5 
gauze	19525800.txt:1 
gear	19525800.txt:1 
gemini	19525800.txt:1 
gemmed	19525800.txt:1 
generation	19525800.txt:1 
gentility	19525800.txt:1 
gentleman	19525800.txt:49 
gentlewoman	19525800.txt:4 
george	19525800.txt:8 
get	19525800.txt:47 
gets	19525800.txt:3 
ghostlylooking	19525800.txt:1 
gigantic	19525800.txt:1 
giggle	19525800.txt:1 
giggled	19525800.txt:1 
girl	19525800.txt:62 
girls	19525800.txt:23 
glance	19525800.txt:2 
glanced	19525800.txt:1 
glances	19525800.txt:2 
glared	19525800.txt:1 
gleaming	19525800.txt:1 
gleams	19525800.txt:1 
glimpse	19525800.txt:2 
glitter	19525800.txt:2 
gloomy	19525800.txt:2 
godfreys	19525800.txt:2 
godless	19525800.txt:1 
goes	19525800.txt:12 
golden	19525800.txt:10 
goldenhaired	19525800.txt:1 
gone	19525800.txt:50 
good	19525800.txt:202 
goodhumoured	19525800.txt:2 
goodnature	19525800.txt:1 
goods	19525800.txt:2 
got	19525800.txt:27 
gothic	19525800.txt:2 
governess	19525800.txt:4 
governor	19525800.txt:1 
grandfather	19525800.txt:3 
grandson	19525800.txt:1 
grange	19525800.txt:1 
grant	19525800.txt:4 
gratified	19525800.txt:2 
gratify	19525800.txt:4 
graves	19525800.txt:1 
gray	19525800.txt:4 
greenwich	19525800.txt:6 
greet	19525800.txt:1 
grief	19525800.txt:10 
grinned	19525800.txt:2 
grinning	19525800.txt:3 
gripe	19525800.txt:1 
grizzled	19525800.txt:3 
groan	19525800.txt:5 
grooms	19525800.txt:6 
groping	19525800.txt:1 
grotesque	19525800.txt:1 
grudged	19525800.txt:2 
grumbling	19525800.txt:1 
grunt	19525800.txt:1 
guardian	19525800.txt:11 
guardianship	19525800.txt:3 
guiding	19525800.txt:2 
guilelessness	19525800.txt:1 
guinea	19525800.txt:5 
guineas	19525800.txt:10 
gulf	19525800.txt:2 
habit	19525800.txt:9 
hadnot	19525800.txt:1 
hair	19525800.txt:42 
halfadozen	19525800.txt:4 
halftiger	19525800.txt:1 
halldoor	19525800.txt:1 
halt	19525800.txt:5 
halves	19525800.txt:1 
handfuls	19525800.txt:1 
handwriting	19525800.txt:1 
harassed	19525800.txt:1 
harboured	19525800.txt:1 
hard	19525800.txt:20 
harebells	19525800.txt:1 
hargrave	19525800.txt:22 
harmless	19525800.txt:3 
harmony	19525800.txt:1 
harriet	19525800.txt:127 
harry	19525800.txt:12 
hasten	19525800.txt:1 
hastily	19525800.txt:11 
hatched	19525800.txt:2 
have	19525800.txt:590 
hawyot	19525800.txt:1 
hayfield	19525800.txt:1 
he	19525800.txt:945 
healthy	19525800.txt:1 
heartily	19525800.txt:4 
heartstrings	19525800.txt:1 
hearty	19525800.txt:3 
heavens	19525800.txt:7 
hed	19525800.txt:1 
heerself	19525800.txt:1 
height	19525800.txt:2 
help	19525800.txt:26 
helps	19525800.txt:1 
hen	19525800.txt:2 
hence	19525800.txt:2 
henry	19525800.txt:2 
herbless	19525800.txt:1 
here	19525800.txt:157 
heres	19525800.txt:4 
hero	19525800.txt:2 
hes	19525800.txt:1 
hide	19525800.txt:6 
highwalled	19525800.txt:1 
highwayman	19525800.txt:2 
hilarious	19525800.txt:1 
hill	19525800.txt:1 
hillmaster	19525800.txt:1 
hills	19525800.txt:2 
hint	19525800.txt:7 
history	19525800.txt:2 
hit	19525800.txt:1 
ho	19525800.txt:8 
hobbyhorse	19525800.txt:1 
hoitytoity	19525800.txt:1 
holding	19525800.txt:10 
holiday	19525800.txt:2 
holidaywork	19525800.txt:1 
home	19525800.txt:105 
homesickness	19525800.txt:2 
honoured	19525800.txt:8 
honouring	19525800.txt:1 
hornbook	19525800.txt:3 
hornbooks	19525800.txt:1 
horrid	19525800.txt:4 
horrified	19525800.txt:1 
horror	19525800.txt:14 
horse	19525800.txt:25 
horseblock	19525800.txt:1 
horsehoofs	19525800.txt:1 
horseman	19525800.txt:3 
hotel	19525800.txt:4 
hotly	19525800.txt:1 
housedoor	19525800.txt:1 
houses	19525800.txt:10 
hovering	19525800.txt:2 
huge	19525800.txt:6 
hugged	19525800.txt:2 
hum	19525800.txt:1 
humbler	19525800.txt:1 
hundred	19525800.txt:5 
hungary	19525800.txt:1 
hunted	19525800.txt:1 
hurry	19525800.txt:3 
hurtee	19525800.txt:2 
husband	19525800.txt:45 
husbandmorris	19525800.txt:1 
hush	19525800.txt:14 
hustled	19525800.txt:1 
i	19525800.txt:1426 
ice	19525800.txt:1 
icy	19525800.txt:1 
id	19525800.txt:5 
identify	19525800.txt:1 
ignorance	19525800.txt:5 
ii	19525800.txt:6 
iii	19525800.txt:3 
iliad	19525800.txt:2 
illuminating	19525800.txt:1 
imaginable	19525800.txt:1 
imbrown	19525800.txt:1 
imitated	19525800.txt:1 
immediate	19525800.txt:4 
impatient	19525800.txt:4 
impel	19525800.txt:2 
impelled	19525800.txt:2 
impertinently	19525800.txt:2 
impetuously	19525800.txt:1 
implication	19525800.txt:1 
implicit	19525800.txt:2 
imply	19525800.txt:1 
impose	19525800.txt:1 
impressing	19525800.txt:1 
impressions	19525800.txt:3 
impressiveness	19525800.txt:1 
in	19525800.txt:1505 
incense	19525800.txt:1 
incited	19525800.txt:2 
inclosure	19525800.txt:1 
incommode	19525800.txt:1 
incomparably	19525800.txt:1 
increase	19525800.txt:1 
increasing	19525800.txt:3 
incumbent	19525800.txt:1 
indefinable	19525800.txt:1 
independently	19525800.txt:1 
indignity	19525800.txt:1 
inferior	19525800.txt:1 
infernal	19525800.txt:1 
influence	19525800.txt:3 
informed	19525800.txt:4 
inhabited	19525800.txt:2 
inherited	19525800.txt:1 
inin	19525800.txt:1 
injury	19525800.txt:5 
injustice	19525800.txt:2 
inmate	19525800.txt:1 
inn	19525800.txt:10 
innamorata	19525800.txt:2 
inner	19525800.txt:5 
inni	19525800.txt:1 
innocent	19525800.txt:18 
innocents	19525800.txt:1 
inns	19525800.txt:1 
insisted	19525800.txt:9 
insists	19525800.txt:1 
inspired	19525800.txt:2 
instances	19525800.txt:1 
instantly	19525800.txt:11 
instruct	19525800.txt:1 
insular	19525800.txt:1 
insults	19525800.txt:1 
integrity	19525800.txt:1 
intelligence	19525800.txt:10 
intent	19525800.txt:3 
interference	19525800.txt:3 
interlopers	19525800.txt:2 
interrogations	19525800.txt:1 
introduced	19525800.txt:2 
invalidity	19525800.txt:1 
invention	19525800.txt:1 
invigorated	19525800.txt:1 
inviting	19525800.txt:1 
involve	19525800.txt:1 
iron	19525800.txt:2 
is	19525800.txt:643 
isoh	19525800.txt:1 
issued	19525800.txt:1 
issues	19525800.txt:1 
ix	19525800.txt:2 
jackboots	19525800.txt:2 
jacobite	19525800.txt:2 
jamess	19525800.txt:1 
japanned	19525800.txt:1 
jeered	19525800.txt:1 
jewel	19525800.txt:8 
jewelled	19525800.txt:1 
job	19525800.txt:2 
jocund	19525800.txt:2 
joined	19525800.txt:5 
jubilant	19525800.txt:1 
judgment	19525800.txt:6 
jumbowho	19525800.txt:1 
junior	19525800.txt:2 
justice	19525800.txt:9 
justly	19525800.txt:2 
keble	19525800.txt:1 
keenly	19525800.txt:2 
keeping	19525800.txt:7 
kerchief	19525800.txt:3 
king	19525800.txt:13 
kings	19525800.txt:2 
kissed	19525800.txt:11 
kisses	19525800.txt:7 
knack	19525800.txt:3 
knife	19525800.txt:2 
knocker	19525800.txt:1 
knocking	19525800.txt:3 
la	19525800.txt:10 
lace	19525800.txt:10 
laced	19525800.txt:6 
laces	19525800.txt:1 
lackaday	19525800.txt:1 
lackey	19525800.txt:1 
lacking	19525800.txt:1 
lacquer	19525800.txt:1 
lad	19525800.txt:10 
lads	19525800.txt:3 
lagging	19525800.txt:1 
laid	19525800.txt:18 
lain	19525800.txt:3 
lame	19525800.txt:2 
lamed	19525800.txt:1 
lameness	19525800.txt:2 
lamentation	19525800.txt:1 
land	19525800.txt:6 
landdl	19525800.txt:1 
landlady	19525800.txt:3 
landplace	19525800.txt:1 
lands	19525800.txt:1 
landscapepainted	19525800.txt:1 
language	19525800.txt:1 
largest	19525800.txt:4 
lass	19525800.txt:6 
lasting	19525800.txt:2 
latest	19525800.txt:1 
latterly	19525800.txt:1 
launched	19525800.txt:1 
lawkaday	19525800.txt:2 
leading	19525800.txt:7 
leaning	19525800.txt:4 
learn	19525800.txt:7 
leave	19525800.txt:36 
legend	19525800.txt:1 
lest	19525800.txt:15 
let	19525800.txt:105 
lets	19525800.txt:1 
letting	19525800.txt:3 
lettyperhaps	19525800.txt:1 
liberate	19525800.txt:1 
lifting	19525800.txt:1 
lightbringing	19525800.txt:1 
lighthearted	19525800.txt:1 
likelihood	19525800.txt:1 
liking	19525800.txt:1 
limbs	19525800.txt:3 
limited	19525800.txt:2 
lineaments	19525800.txt:1 
linkboys	19525800.txt:1 
lip	19525800.txt:2 
lips	19525800.txt:18 
lipssuch	19525800.txt:1 
liquid	19525800.txt:1 
lisp	19525800.txt:1 
lock	19525800.txt:11 
locks	19525800.txt:1 
lodged	19525800.txt:1 
longed	19525800.txt:9 
longest	19525800.txt:1 
longford	19525800.txt:1 
loo	19525800.txt:2 
looked	19525800.txt:54 
looped	19525800.txt:2 
lose	19525800.txt:5 
loses	19525800.txt:1 
lost	19525800.txt:24 
lot	19525800.txt:2 
loveliness	19525800.txt:1 
lowbrowed	19525800.txt:1 
loyal	19525800.txt:3 
luggage	19525800.txt:2 
lullaby	19525800.txt:1 
lumbering	19525800.txt:1 
lunatic	19525800.txt:2 
macaronies	19525800.txt:1 
mackworth	19525800.txt:1 
madame	19525800.txt:11 
madge	19525800.txt:26 
magistrate	19525800.txt:5 
magnificent	19525800.txt:6 
maidens	19525800.txt:5 
maidservant	19525800.txt:2 
maistre	19525800.txt:1 
majestys	19525800.txt:3 
male	19525800.txt:8 
malignant	19525800.txt:4 
maltese	19525800.txt:1 
mammy	19525800.txt:7 
managed	19525800.txt:3 
manful	19525800.txt:1 
manhood	19525800.txt:3 
manipulations	19525800.txt:1 
manly	19525800.txt:1 
manoeuvre	19525800.txt:1 
manorhouse	19525800.txt:1 
mansion	19525800.txt:3 
mar	19525800.txt:27 
mariners	19525800.txt:1 
marked	19525800.txt:2 
marriage	19525800.txt:35 
marry	19525800.txt:8 
mars	19525800.txt:5 
marshalled	19525800.txt:1 
marvellously	19525800.txt:1 
masquerade	19525800.txt:3 
masr	19525800.txt:11 
masrs	19525800.txt:1 
masters	19525800.txt:8 
match	19525800.txt:14 
materials	19525800.txt:1 
matrons	19525800.txt:3 
matter	19525800.txt:24 
matthew	19525800.txt:1 
maturity	19525800.txt:1 
maundering	19525800.txt:1 
mayden	19525800.txt:1 
me	19525800.txt:465 
meadows	19525800.txt:5 
meal	19525800.txt:10 
meantime	19525800.txt:16 
mechanically	19525800.txt:1 
mechanism	19525800.txt:1 
meditations	19525800.txt:2 
meditative	19525800.txt:1 
mediterranean	19525800.txt:1 
melet	19525800.txt:1 
members	19525800.txt:1 
meme	19525800.txt:1 
memy	19525800.txt:1 
men	19525800.txt:18 
mend	19525800.txt:1 
mens	19525800.txt:2 
mention	19525800.txt:3 
mere	19525800.txt:20 
merit	19525800.txt:2 
messengrechaucer	19525800.txt:1 
metexcept	19525800.txt:1 
mewed	19525800.txt:2 
middle	19525800.txt:6 
midst	19525800.txt:9 
mie	19525800.txt:2 
mightor	19525800.txt:1 
mighty	19525800.txt:2 
milking	19525800.txt:2 
mincepies	19525800.txt:1 
minding	19525800.txt:1 
mine	19525800.txt:15 
minuet	19525800.txt:3 
minute	19525800.txt:3 
mirthloudest	19525800.txt:1 
misconstruction	19525800.txt:1 
miserable	19525800.txt:5 
misfortune	19525800.txt:2 
misfortunes	19525800.txt:1 
misgiving	19525800.txt:1 
misgivings	19525800.txt:2 
missing	19525800.txt:1 
missy	19525800.txt:5 
mists	19525800.txt:1 
mittens	19525800.txt:1 
mixed	19525800.txt:3 
mocha	19525800.txt:1 
mockery	19525800.txt:1 
mockingly	19525800.txt:1 
monday	19525800.txt:3 
moneyor	19525800.txt:1 
monstrous	19525800.txt:4 
monstrously	19525800.txt:2 
montee	19525800.txt:1 
month	19525800.txt:5 
monument	19525800.txt:2 
monuments	19525800.txt:1 
moolly	19525800.txt:1 
moorfields	19525800.txt:1 
more	19525800.txt:245 
mores	19525800.txt:2 
morewhich	19525800.txt:1 
morning	19525800.txt:51 
morris	19525800.txt:3 
morrow	19525800.txt:1 
mortification	19525800.txt:1 
motions	19525800.txt:1 
mould	19525800.txt:1 
moulding	19525800.txt:1 
mournful	19525800.txt:2 
mournfully	19525800.txt:1 
mufflerand	19525800.txt:1 
mum	19525800.txt:1 
mumbled	19525800.txt:1 
mums	19525800.txt:1 
murmursto	19525800.txt:1 
music	19525800.txt:8 
mutter	19525800.txt:1 
muttered	19525800.txt:3 
my	19525800.txt:968 
mystery	19525800.txt:5 
myths	19525800.txt:1 
nags	19525800.txt:1 
nails	19525800.txt:3 
national	19525800.txt:1 
naturae	19525800.txt:1 
naturally	19525800.txt:2 
necessaries	19525800.txt:1 
necklace	19525800.txt:1 
needed	19525800.txt:9 
neighbourhood	19525800.txt:7 
neighbours	19525800.txt:2 
nephews	19525800.txt:2 
new	19525800.txt:46 
newgate	19525800.txt:1 
news	19525800.txt:8 
newslong	19525800.txt:1 
nice	19525800.txt:2 
nightly	19525800.txt:1 
nights	19525800.txt:8 
ninepins	19525800.txt:1 
nineteenth	19525800.txt:1 
nobility	19525800.txt:2 
nor	19525800.txt:69 
nostrum	19525800.txt:1 
noteven	19525800.txt:1 
noticed	19525800.txt:4 
notion	19525800.txt:12 
notorious	19525800.txt:1 
novelist	19525800.txt:1 
novels	19525800.txt:1 
now	19525800.txt:104 
nucleus	19525800.txt:1 
nursechild	19525800.txt:1 
nursery	19525800.txt:4 
oak	19525800.txt:5 
observations	19525800.txt:1 
observed	19525800.txt:5 
observing	19525800.txt:2 
obtained	19525800.txt:11 
oddity	19525800.txt:1 
odysseycowper	19525800.txt:1 
off	19525800.txt:76 
offences	19525800.txt:3 
offer	19525800.txt:7 
offices	19525800.txt:2 
often	19525800.txt:19 
oftener	19525800.txt:2 
oh	19525800.txt:124 
oiled	19525800.txt:1 
oldfashioned	19525800.txt:2 
only	19525800.txt:270 
ooze	19525800.txt:1 
openly	19525800.txt:1 
or	19525800.txt:223 
oracularly	19525800.txt:1 
orchis	19525800.txt:1 
order	19525800.txt:13 
orphan	19525800.txt:1 
orreely	19525800.txt:1 
orthodoxy	19525800.txt:1 
otherwise	19525800.txt:7 
outmorris	19525800.txt:1 
outo	19525800.txt:1 
outpourings	19525800.txt:1 
outside	19525800.txt:8 
overbalanced	19525800.txt:1 
overtasking	19525800.txt:1 
overthrowing	19525800.txt:1 
own	19525800.txt:144 
pack	19525800.txt:3 
paint	19525800.txt:1 
palelettered	19525800.txt:1 
paleness	19525800.txt:1 
pane	19525800.txt:1 
panels	19525800.txt:1 
parchment	19525800.txt:2 
parents	19525800.txt:2 
park	19525800.txt:23 
parks	19525800.txt:2 
parley	19525800.txt:1 
parliament	19525800.txt:1 
parsonage	19525800.txt:1 
participation	19525800.txt:1 
parties	19525800.txt:4 
partly	19525800.txt:5 
party	19525800.txt:17 
passage	19525800.txt:5 
passion	19525800.txt:2 
past	19525800.txt:11 
patrimony	19525800.txt:1 
patronised	19525800.txt:1 
pauper	19525800.txt:1 
pavement	19525800.txt:4 
pay	19525800.txt:13 
paying	19525800.txt:1 
pea	19525800.txt:1 
peace	19525800.txt:12 
peggy	19525800.txt:4 
penalty	19525800.txt:2 
penance	19525800.txt:1 
peonies	19525800.txt:1 
peony	19525800.txt:1 
peonycoloured	19525800.txt:1 
peoples	19525800.txt:2 
perch	19525800.txt:1 
perfect	19525800.txt:19 
perfumer	19525800.txt:2 
perfuming	19525800.txt:1 
perhaps	19525800.txt:14 
peril	19525800.txt:2 
period	19525800.txt:3 
permitting	19525800.txt:1 
perpetual	19525800.txt:1 
person	19525800.txt:25 
pewmates	19525800.txt:1 
pewter	19525800.txt:1 
philomel	19525800.txt:1 
phinehas	19525800.txt:1 
phrase	19525800.txt:1 
pictur	19525800.txt:1 
pieces	19525800.txt:4 
piety	19525800.txt:1 
pigs	19525800.txt:2 
piling	19525800.txt:1 
pillow	19525800.txt:2 
pinky	19525800.txt:1 
pious	19525800.txt:3 
pipe	19525800.txt:2 
pipes	19525800.txt:1 
pirates	19525800.txt:2 
pitchers	19525800.txt:1 
plague	19525800.txt:3 
plaits	19525800.txt:1 
plantations	19525800.txt:2 
plastered	19525800.txt:1 
playful	19525800.txt:2 
pleasureloving	19525800.txt:1 
pleasures	19525800.txt:1 
pledged	19525800.txt:4 
plenty	19525800.txt:3 
plighted	19525800.txt:1 
plumcolourie	19525800.txt:1 
pocketbook	19525800.txt:1 
pocketholes	19525800.txt:1 
poet	19525800.txt:4 
poets	19525800.txt:2 
pointed	19525800.txt:6 
pointing	19525800.txt:2 
polite	19525800.txt:3 
politely	19525800.txt:1 
politician	19525800.txt:1 
pollard	19525800.txt:1 
porcelain	19525800.txt:5 
porteous	19525800.txt:1 
porter	19525800.txt:3 
postman	19525800.txt:1 
postscript	19525800.txt:2 
potts	19525800.txt:1 
poultryyard	19525800.txt:1 
pound	19525800.txt:2 
poure	19525800.txt:1 
precisely	19525800.txt:4 
preferable	19525800.txt:1 
prescription	19525800.txt:1 
preserved	19525800.txt:4 
preserves	19525800.txt:1 
preserving	19525800.txt:3 
pressing	19525800.txt:1 
presuming	19525800.txt:1 
presumption	19525800.txt:5 
pretensions	19525800.txt:4 
pretext	19525800.txt:4 
prettiest	19525800.txt:2 
prevail	19525800.txt:1 
prevailed	19525800.txt:1 
primers	19525800.txt:1 
principal	19525800.txt:1 
prisoners	19525800.txt:2 
prisonyard	19525800.txt:1 
privately	19525800.txt:1 
privilege	19525800.txt:1 
privileges	19525800.txt:1 
proclaim	19525800.txt:1 
proclaiming	19525800.txt:1 
profiting	19525800.txt:1 
progress	19525800.txt:2 
prohibit	19525800.txt:1 
prong	19525800.txt:1 
pronouncing	19525800.txt:1 
proof	19525800.txt:2 
propitiate	19525800.txt:1 
proposal	19525800.txt:8 
proposing	19525800.txt:1 
prospect	19525800.txt:3 
protection	19525800.txt:8 
protest	19525800.txt:3 
protests	19525800.txt:1 
protracted	19525800.txt:1 
providing	19525800.txt:3 
province	19525800.txt:2 
proximity	19525800.txt:1 
prudent	19525800.txt:6 
prussian	19525800.txt:1 
publicly	19525800.txt:1 
pull	19525800.txt:5 
pulses	19525800.txt:1 
pump	19525800.txt:1 
puny	19525800.txt:1 
purely	19525800.txt:2 
purring	19525800.txt:1 
pursuing	19525800.txt:1 
pussy	19525800.txt:1 
put	19525800.txt:86 
puts	19525800.txt:4 
quartered	19525800.txt:2 
quarters	19525800.txt:8 
quarto	19525800.txt:1 
quitted	19525800.txt:3 
quivergrass	19525800.txt:1 
quixote	19525800.txt:1 
quoted	19525800.txt:3 
rage	19525800.txt:4 
ragged	19525800.txt:1 
ram	19525800.txt:1 
range	19525800.txt:1 
rarer	19525800.txt:1 
rash	19525800.txt:2 
raved	19525800.txt:1 
reach	19525800.txt:16 
readinessor	19525800.txt:1 
real	19525800.txt:9 
reason	19525800.txt:6 
reasons	19525800.txt:4 
reassured	19525800.txt:4 
rebuked	19525800.txt:1 
receipt	19525800.txt:1 
recently	19525800.txt:4 
recitation	19525800.txt:2 
recoil	19525800.txt:1 
recollect	19525800.txt:3 
reconciliation	19525800.txt:1 
reconnoissance	19525800.txt:1 
reconnoitring	19525800.txt:1 
recover	19525800.txt:6 
recurring	19525800.txt:2 
red	19525800.txt:25 
refined	19525800.txt:1 
refrain	19525800.txt:1 
refuge	19525800.txt:4 
